# LCI/0 final-tip changed-file inventory
# Date: 2026-07-14
# Base commit: 26ac543856e30c340cc2dd4359802442636f4b94
# Base tree: 5d0fd36ad1a5b432181d491e748957355a436810
# Inventory source commit: a7811dbf598583604e3ea77d971ccb410f8439e9
# Inventory source tree: 896e705bbce7fc98573ac7b8336ef35570fda035
# Format: git diff --name-status BASE..SOURCE
# Net paths from Git: 122; this file is the additional 123rd final-tip path.
M	.gitignore
A	mneme/lci0/README.md
A	mneme/lci0/common-lisp/calculi.lisp
A	mneme/lci0/common-lisp/fixture-adapter.lisp
A	mneme/lci0/common-lisp/harness.lisp
A	mneme/lci0/common-lisp/json.lisp
A	mneme/lci0/common-lisp/lisp-plus-lci0.asd
A	mneme/lci0/common-lisp/load.lisp
A	mneme/lci0/common-lisp/matching.lisp
A	mneme/lci0/common-lisp/migration.lisp
A	mneme/lci0/common-lisp/operations.lisp
A	mneme/lci0/common-lisp/package.lisp
A	mneme/lci0/common-lisp/policy.lisp
A	mneme/lci0/common-lisp/pre-seed-red-tests.lisp
A	mneme/lci0/common-lisp/registry.lisp
A	mneme/lci0/common-lisp/run-perturbation.lisp
A	mneme/lci0/common-lisp/run-pre-seed-red.lisp
A	mneme/lci0/common-lisp/run-tests.lisp
A	mneme/lci0/common-lisp/run-unit-tests.lisp
A	mneme/lci0/common-lisp/run-vectors.lisp
A	mneme/lci0/common-lisp/tests.lisp
A	mneme/lci0/common-lisp/validation.lisp
A	mneme/lci0/common-lisp/values.lisp
A	mneme/lci0/differential/POST-CONVERGENCE-HARNESS.md
A	mneme/lci0/differential/artifacts/baseline-2026-07-14/sha256-manifest.json
A	mneme/lci0/differential/artifacts/baseline-2026-07-14/summary.json
A	mneme/lci0/differential/artifacts/post-convergence-final-2026-07-14/sha256-manifest.json
A	mneme/lci0/differential/artifacts/post-convergence-final-2026-07-14/summary.json
A	mneme/lci0/differential/artifacts/successor-final-2026-07-14/sha256-manifest.json
A	mneme/lci0/differential/artifacts/successor-final-2026-07-14/summary.json
A	mneme/lci0/differential/authorial_blockers.py
A	mneme/lci0/differential/common_lisp_adapter.lisp
A	mneme/lci0/differential/common_lisp_host_probe.lisp
A	mneme/lci0/differential/post_convergence.py
A	mneme/lci0/differential/protocol.py
A	mneme/lci0/differential/python_adapter.py
A	mneme/lci0/differential/python_host_probe.py
A	mneme/lci0/differential/relation_table_probe.lisp
A	mneme/lci0/differential/response_validation.py
A	mneme/lci0/differential/run_differential.py
A	mneme/lci0/differential/test_post_convergence.py
A	mneme/lci0/differential/test_python_adapter.py
A	mneme/lci0/differential/test_run_differential.py
A	mneme/lci0/evidence/LCI0-AUTHORIAL-RETURN-PACKET-CORPUS-BASIS-COHERENCE.md
A	mneme/lci0/evidence/LCI0-AUTHORIAL-RETURN-PACKET-E5-COVERAGE-CONTEXT.md
A	mneme/lci0/evidence/LCI0-AUTHORIAL-RETURN-PACKET-MIGRATION-CLASSIFICATION-COUPLING.md
A	mneme/lci0/evidence/LCI0-AUTHORIAL-RETURN-PACKET-OPERATION-PAYLOAD-FAILURES.md
A	mneme/lci0/evidence/LCI0-AUTHORIAL-RETURN-PACKET-P024-REVIVAL.md
A	mneme/lci0/evidence/LCI0-AUTHORIAL-RETURN-PACKET-P029-SOURCE-ARTIFACT.md
A	mneme/lci0/evidence/LCI0-AUTHORIAL-RETURN-PACKET-POLICY-EVALUATION-ORDER.md
A	mneme/lci0/evidence/LCI0-AUTHORIAL-RETURN-PACKET-RELATION-FAILURE-PATHS.md
A	mneme/lci0/evidence/LCI0-AUTHORIAL-RETURN-PACKET-TARGET-BOUNDARY-COHERENCE.md
A	mneme/lci0/evidence/LCI0-AUTHORIAL-RETURN-PACKET.md
A	mneme/lci0/evidence/LCI0-CD0-FROZEN-INVENTORY.md
A	mneme/lci0/evidence/LCI0-CLEANUP-RECEIPT.md
A	mneme/lci0/evidence/LCI0-COMMON-LISP-INSPECTED-FILES.txt
A	mneme/lci0/evidence/LCI0-COMMON-LISP-PRE-SEED-RED-TRANSCRIPT.txt
A	mneme/lci0/evidence/LCI0-COMMON-LISP-SEED-ARCHIVE-MANIFEST.txt
A	mneme/lci0/evidence/LCI0-COMMON-LISP-SEED-EVIDENCE-2026-07-14.tar.gz
A	mneme/lci0/evidence/LCI0-COMMON-LISP-SEED-RECEIPT.md
A	mneme/lci0/evidence/LCI0-COMMON-LISP-SEED-SHA256SUMS.txt
A	mneme/lci0/evidence/LCI0-COMMON-LISP-SEED-VERIFICATION-TRANSCRIPT.txt
A	mneme/lci0/evidence/LCI0-CORRECTION-VERIFICATION-AUDIT.md
A	mneme/lci0/evidence/LCI0-DIFFERENTIAL-RECEIPT.md
A	mneme/lci0/evidence/LCI0-EVIDENCE-ARCHIVE-RECEIPT.md
A	mneme/lci0/evidence/LCI0-EVIDENCE-SHA256SUMS.txt
A	mneme/lci0/evidence/LCI0-FABLE-IMPLEMENTATION-RELAY.md
A	mneme/lci0/evidence/LCI0-FINAL-VERIFICATION-TRANSCRIPT.md
A	mneme/lci0/evidence/LCI0-FIXTURE-CORPUS-VERIFICATION.md
A	mneme/lci0/evidence/LCI0-IMPLEMENTATION-DIVERGENCES.md
A	mneme/lci0/evidence/LCI0-IMPLEMENTATION-EVIDENCE-2026-07-14.tar.gz
A	mneme/lci0/evidence/LCI0-IMPLEMENTATION-LEDGER.md
A	mneme/lci0/evidence/LCI0-MUTATION-AND-PERTURBATION-RECEIPT.md
A	mneme/lci0/evidence/LCI0-NONREGRESSION-RECEIPT.md
A	mneme/lci0/evidence/LCI0-PREFLIGHT-RECEIPT.md
A	mneme/lci0/evidence/LCI0-PUBLICATION-READBACK-RECEIPT.md
A	mneme/lci0/evidence/LCI0-PYTHON-SEED-RECEIPT.md
A	mneme/lci0/evidence/LCI0-V1-MIGRATION-FIXTURE-RECEIPT.md
A	mneme/lci0/evidence/raw/nonregression-final-2026-07-14/COMMANDS.md
A	mneme/lci0/evidence/raw/nonregression-final-2026-07-14/SHA256SUMS.txt
A	mneme/lci0/evidence/raw/nonregression-final-2026-07-14/cd0-frozen-inventory.sha256
A	mneme/lci0/fixtures/LCI0-FIXTURE-PACKAGE-MANIFEST.md
A	mneme/lci0/fixtures/LCI0-FIXTURE-SHA256SUMS.txt
A	mneme/lci0/fixtures/archives/FABLE-LCI0-PASS-RECEIPT-PACKET-2026-07-14.zip
A	mneme/lci0/fixtures/archives/lci0-errata-0.1-fixture-package-2026-07-14.zip
A	mneme/lci0/python/.gitignore
A	mneme/lci0/python/README.md
A	mneme/lci0/python/evidence/LCI0-PYTHON-FAILURE-VOCABULARY-AUDIT.md
A	mneme/lci0/python/evidence/LCI0-PYTHON-RED-BASELINE.txt
A	mneme/lci0/python/evidence/LCI0-PYTHON-SEED-SHA256SUMS.txt
A	mneme/lci0/python/lci0/__init__.py
A	mneme/lci0/python/lci0/adapter.py
A	mneme/lci0/python/lci0/core.py
A	mneme/lci0/python/lci0/corpus.py
A	mneme/lci0/python/lci0/migration.py
A	mneme/lci0/python/lci0/model.py
A	mneme/lci0/python/lci0/package.py
A	mneme/lci0/python/lci0/protocol.py
A	mneme/lci0/python/lci0/runner.py
A	mneme/lci0/python/lci0/vector.py
A	mneme/lci0/python/tests/blocked_scope_authority_conflict.py
A	mneme/lci0/python/tests/test_adapter.py
A	mneme/lci0/python/tests/test_audit_regressions.py
A	mneme/lci0/python/tests/test_corpus.py
A	mneme/lci0/python/tests/test_failure_vocabulary.py
A	mneme/lci0/python/tests/test_perturbations.py
A	mneme/lci0/python/tests/test_red_boundaries.py
A	mneme/lci0/python/tests/test_successor_hostile.py
A	mneme/lci0/python/tests/test_surface.py
A	mneme/lci0/python/tests/test_vectors.py
A	mneme/lci0/shared/build_evidence_archive.py
A	mneme/lci0/shared/fixture_package.py
A	mneme/lci0/shared/test_evidence_archive.py
A	mneme/lci0/shared/test_fixture_package.py
A	mneme/lci0/spec/FABLE-LCI0-CONSTITUTIONAL-REVIEW.md
A	mneme/lci0/spec/FABLE-LCI0-ERRATA-0.1-FIXTURE-PACKAGE-PASS-RECEIPT.md
A	mneme/lci0/spec/FABLE-LCI0-IMPLEMENTATION-READINESS-RELAY.md
A	mneme/lci0/spec/FABLE-LCI0-ISSUE-REGISTER.md
A	mneme/lci0/spec/LCI0-NORMATIVE-FIXTURE-PACKAGE-SPEC.md
A	mneme/lci0/spec/LCI0-POST-REVIEW-RULING.md
A	mneme/lci0/spec/LOCATED-CLAIM-IDENTITY-SPEC-ERRATA-0.1.md
A	mneme/lci0/spec/LOCATED-CLAIM-IDENTITY-SPEC.md
A	mneme/lci0/evidence/LCI0-CHANGED-FILES.txt
