provider	fact	accessor	provenance	bearer	measured-this-session	notes
LISP-PLUS-SURFACE1 (Surface /1)	receipt identity (opaque native identity datum)	LISP-PLUS-SURFACE1:EXPANSION-RECEIPT-IDENTITY	receipt-stored	the native receipt record the inspector holds	yes -- read off a minted receipt; 3776 canonical octets	Source: surface1.lisp defstruct expansion-receipt slot IDENTITY, :read-only t. Domain segment reads ':receipt' inside 'lisp-plus-surface1'.
LISP-PLUS-SURFACE1 (Surface /1)	originating request identity	LISP-PLUS-SURFACE1:EXPANSION-RECEIPT-REQUEST-IDENTITY	receipt-stored	the native receipt record the inspector holds	yes -- accessor present and type-guarded	The REQUEST OBJECT itself is not reachable from a receipt; only its identity is.
LISP-PLUS-SURFACE1 (Surface /1)	occurrence object	LISP-PLUS-SURFACE1:EXPANSION-RECEIPT-OCCURRENCE	receipt-stored	the native receipt record the inspector holds	yes -- returned a native EXPANSION-OCCURRENCE	The receipt carries the occurrence by value.
LISP-PLUS-SURFACE1 (Surface /1)	occurrence identity	LISP-PLUS-SURFACE1:EXPANSION-RECEIPT-OCCURRENCE-IDENTITY	receipt-stored	the native receipt record the inspector holds	yes -- accessor present	Also independently readable as EXPANSION-OCCURRENCE-IDENTITY off the occurrence (occurrence-stored).
LISP-PLUS-SURFACE1 (Surface /1)	occurrence tag	LISP-PLUS-SURFACE1:EXPANSION-OCCURRENCE-OCCURRENCE-TAG (via EXPANSION-RECEIPT-OCCURRENCE)	occurrence-stored	the native occurrence record carried by the receipt	yes -- returned a CD/0 %IDENTIFIER-DATUM	NO receipt-level occurrence-tag accessor exists. The tag is reachable only through the occurrence. Any account projecting an occurrence tag from a receipt must route through the occurrence and say so.
LISP-PLUS-SURFACE1 (Surface /1)	source datum (the exact source term)	LISP-PLUS-SURFACE1:EXPANSION-RECEIPT-SOURCE-FORM-DATUM	receipt-stored	the native receipt record the inspector holds	yes -- returned a CD/0 %RECORD-DATUM	Stored as a CD/0 datum, not as a host tree.
LISP-PLUS-SURFACE1 (Surface /1)	source form identity	LISP-PLUS-SURFACE1:EXPANSION-RECEIPT-SOURCE-FORM-IDENTITY	receipt-stored	the native receipt record the inspector holds	yes -- accessor present	no additional observation
LISP-PLUS-SURFACE1 (Surface /1)	expanded datum	LISP-PLUS-SURFACE1:EXPANSION-RECEIPT-EXPANDED-FORM-DATUM	receipt-stored	the native receipt record the inspector holds	yes -- returned a CD/0 %RECORD-DATUM	Also occurrence-stored: EXPANSION-OCCURRENCE-EXPANDED-FORM-DATUM.
LISP-PLUS-SURFACE1 (Surface /1)	expanded form identity	LISP-PLUS-SURFACE1:EXPANSION-RECEIPT-EXPANDED-FORM-IDENTITY	receipt-stored	the native receipt record the inspector holds	yes -- accessor present	no additional observation
LISP-PLUS-SURFACE1 (Surface /1)	operation	LISP-PLUS-SURFACE1:EXPANSION-RECEIPT-OPERATION	receipt-stored	the native receipt record the inspector holds	yes -- measured :MACROEXPAND-1	Keyword.
LISP-PLUS-SURFACE1 (Surface /1)	construct identity (which head was expanded)	LISP-PLUS-SURFACE1:EXPANSION-RECEIPT-CONSTRUCT-IDENTITY	receipt-stored	the native receipt record the inspector holds	yes -- hex decodes to lisp-plus-surface1 / construct / derive-case	An opaque native identity. It is NOT a symbol and must not be reverse-engineered; the head NAME is not a receipt field.
LISP-PLUS-SURFACE1 (Surface /1)	expansion context	LISP-PLUS-SURFACE1:EXPANSION-RECEIPT-EXPANSION-CONTEXT	receipt-stored	the native receipt record the inspector holds	yes -- CD/0 %RECORD-DATUM	no additional observation
LISP-PLUS-SURFACE1 (Surface /1)	disposition	LISP-PLUS-SURFACE1:EXPANSION-RECEIPT-DISPOSITION	receipt-stored	the native receipt record the inspector holds	yes -- measured :MACROEXPANDED-ONE-STEP (a KEYWORD)	VALUE DOMAIN DIFFERS FROM SURFACE /2, which returns the STRING "expanded-once" from the same print-name.
LISP-PLUS-SURFACE1 (Surface /1)	grammar VERSION at mint time	LISP-PLUS-SURFACE1:EXPANSION-RECEIPT-GRAMMAR-VERSION	receipt-stored	the native receipt record the inspector holds	yes -- measured 4	Stored as a value.
LISP-PLUS-SURFACE1 (Surface /1)	procedure VERSION at mint time	LISP-PLUS-SURFACE1:EXPANSION-RECEIPT-PROCEDURE-VERSION	receipt-stored	the native receipt record the inspector holds	yes -- measured 4	TEETH: applying this accessor to NIL / 42 / a string raised SIMPLE-TYPE-ERROR, which is exactly what a genuinely receipt-stored field does.
LISP-PLUS-SURFACE1 (Surface /1)	policy VERSION at mint time	LISP-PLUS-SURFACE1:EXPANSION-RECEIPT-POLICY-VERSION	receipt-stored	the native receipt record the inspector holds	yes -- measured 1	no additional observation
LISP-PLUS-SURFACE1 (Surface /1)	grammar IDENTITY at mint time	(no accessor exists)	unavailable	no bearer -- no public accessor exists	yes -- absent from the 80 external symbols	NEITHER provider exposes a receipt-stored grammar identity. Only the grammar VERSION is stored.
LISP-PLUS-SURFACE1 (Surface /1)	procedure IDENTITY 'of the receipt'	LISP-PLUS-SURFACE1:EXPANSION-RECEIPT-PROCEDURE-IDENTITY	provider-current-declaration	the LIVE provider image at read time -- NOT any artifact	yes -- returned a value for NIL, 42 and "not-a-receipt"	THE TRAP. surface1.lisp:1073-1074 is (defun expansion-receipt-procedure-identity (r) (declare (ignore r)) (expansion-procedure-identity)). It IGNORES the receipt and reads the LIVE declaration. NEVER launder this into mint-time history.
LISP-PLUS-SURFACE1 (Surface /1)	policy IDENTITY 'of the receipt'	LISP-PLUS-SURFACE1:EXPANSION-RECEIPT-POLICY-IDENTITY	provider-current-declaration	the LIVE provider image at read time -- NOT any artifact	yes -- returned a value for NIL, 42 and "not-a-receipt"	THE TRAP. surface1.lisp:1075-1076, same shape. Live declaration, not receipt history.
LISP-PLUS-SURFACE1 (Surface /1)	live grammar identity	LISP-PLUS-SURFACE1:EXPANSION-GRAMMAR-IDENTITY	provider-current-declaration	the LIVE provider image at read time -- NOT any artifact	yes -- hex 4c5043440022...6c6973702d706c75732d7375726661636531...6772616d6d6172...7465726d...	Declaration domain 'lisp-plus-surface1'.
LISP-PLUS-SURFACE1 (Surface /1)	live procedure identity	LISP-PLUS-SURFACE1:EXPANSION-PROCEDURE-IDENTITY	provider-current-declaration	the LIVE provider image at read time -- NOT any artifact	yes -- 51 canonical octets	no additional observation
LISP-PLUS-SURFACE1 (Surface /1)	live policy identity	LISP-PLUS-SURFACE1:EXPANSION-POLICY-IDENTITY	provider-current-declaration	the LIVE provider image at read time -- NOT any artifact	yes -- policy segment 'candidate'	no additional observation
LISP-PLUS-SURFACE1 (Surface /1)	live grammar / procedure / policy versions	LISP-PLUS-SURFACE1:EXPANSION-{GRAMMAR,PROCEDURE,POLICY}-VERSION	provider-current-declaration	the LIVE provider image at read time -- NOT any artifact	yes -- measured 4 / 4 / 1	Matches the commission's stated expectation.
LISP-PLUS-SURFACE1 (Surface /1)	declared operations	LISP-PLUS-SURFACE1:EXPANSION-OPERATIONS	provider-current-declaration	the LIVE provider image at read time -- NOT any artifact	yes -- (:MACROEXPAND-1 :MACROEXPAND)	no additional observation
LISP-PLUS-SURFACE1 (Surface /1)	declared closed head set	LISP-PLUS-SURFACE1:KNOWN-SURFACE-CONSTRUCTS	provider-current-declaration	the LIVE provider image at read time -- NOT any artifact	yes -- 5 entries, all namespace LISP-PLUS-SURFACE0	DEFINE-JUDGMENT-SCHEMA, DEFINE-ADMISSION-CONTRACT, DEFINE-SLICE2-SCHEMA, DERIVE-CASE, DERIVE/2-CASE. Read via SURFACE-CONSTRUCT-ENTRY-NAME / -NAMESPACE / -IDENTITY.
LISP-PLUS-SURFACE1 (Surface /1)	refusal category	LISP-PLUS-SURFACE1:EXPANSION-REFUSAL-CATEGORY	refusal-record-stored	the native refusal record (a third native artifact; label first-class per Locked Ruling 5, originated as an R0 flag)	yes -- measured :PROTOCOL-REFUSAL	refusal-record-stored is first-class vocabulary per owner adjudication Locked Ruling 5 (originated as an R0 OUT-OF-VOCABULARY flag so it would not be laundered into receipt-stored). NOT reachable from a receipt: a refusal and a receipt are alternative outcomes.
LISP-PLUS-SURFACE1 (Surface /1)	refusal code	LISP-PLUS-SURFACE1:EXPANSION-REFUSAL-CODE	refusal-record-stored	the native refusal record (a third native artifact; label first-class per Locked Ruling 5, originated as an R0 flag)	yes -- measured :SOURCE-FORM-NOT-A-CALL	no additional observation
LISP-PLUS-SURFACE1 (Surface /1)	refusal phase / stage	LISP-PLUS-SURFACE1:EXPANSION-REFUSAL-PHASE	refusal-record-stored	the native refusal record (a third native artifact; label first-class per Locked Ruling 5, originated as an R0 flag)	yes -- measured :REQUEST	no additional observation
LISP-PLUS-SURFACE1 (Surface /1)	refusal detail	LISP-PLUS-SURFACE1:EXPANSION-REFUSAL-DETAIL	refusal-record-stored	the native refusal record (a third native artifact; label first-class per Locked Ruling 5, originated as an R0 flag)	yes -- measured "the source form is not a cons"	no additional observation
LISP-PLUS-SURFACE1 (Surface /1)	refusal identity	LISP-PLUS-SURFACE1:EXPANSION-REFUSAL-IDENTITY	refusal-record-stored	the native refusal record (a third native artifact; label first-class per Locked Ruling 5, originated as an R0 flag)	yes -- hex read; domain segment ':refusal'	no additional observation
LISP-PLUS-SURFACE1 (Surface /1)	UPSTREAM refusal category	LISP-PLUS-SURFACE1:EXPANSION-REFUSAL-UPSTREAM-CATEGORY	refusal-record-stored	the native refusal record (a third native artifact; label first-class per Locked Ruling 5, originated as an R0 flag)	yes -- accessor exists; measured NIL on a native protocol refusal	SURFACE /1 ONLY. No Surface /2 counterpart exists. Populated only when S1 reclassifies a CD/0 refusal (source comment: 'an ADDED READING, never an overwrite').
LISP-PLUS-SURFACE1 (Surface /1)	UPSTREAM refusal code	LISP-PLUS-SURFACE1:EXPANSION-REFUSAL-UPSTREAM-CODE	refusal-record-stored	the native refusal record (a third native artifact; label first-class per Locked Ruling 5, originated as an R0 flag)	yes -- accessor exists; measured NIL on a native protocol refusal	SURFACE /1 ONLY.
LISP-PLUS-SURFACE1 (Surface /1)	UPSTREAM refusal stage	LISP-PLUS-SURFACE1:EXPANSION-REFUSAL-UPSTREAM-STAGE	refusal-record-stored	the native refusal record (a third native artifact; label first-class per Locked Ruling 5, originated as an R0 flag)	yes -- accessor exists; measured NIL on a native protocol refusal	SURFACE /1 ONLY.
LISP-PLUS-SURFACE1 (Surface /1)	refusal carried on a signalled condition	LISP-PLUS-SURFACE1:EXPANSION-CONDITION-REFUSAL	condition-stored-reference	the signalled condition, which bears the carrying relation to the retained refusal (Locked Ruling 5: the carrying relation is borne by the condition, not the refusal record)	yes -- a handler for LISP-PLUS-SURFACE1:EXPANSION-REFUSED yielded a refusal with code :SOURCE-FORM-NOT-A-CALL	Generic function. LISP-PLUS-SURFACE1:EXPANSION-REFUSED does NOT catch a Surface /2 refusal (measured). Label condition-stored-reference per owner adjudication Locked Ruling 5 (was OUT-OF-VOCABULARY:refusal-record-stored in R0).
LISP-PLUS-SURFACE1 (Surface /1)	verifier output	(no public verifier exists)	unavailable	no bearer -- no public accessor exists	yes -- VERIFY-RECEIPT absent from the 80 external symbols	CONFIRMS the commission: Surface /1 has no public receipt verifier. An account wanting one must derive its own check and must not call it verification of the provider's minting.
LISP-PLUS-SURFACE1 (Surface /1)	did the live procedure version move since minting?	compare EXPANSION-RECEIPT-PROCEDURE-VERSION against EXPANSION-PROCEDURE-VERSION	account-derived-check	computed by the account; no single native artifact bears it	yes -- both read 4 in this image	This is an ACCOUNT-DERIVED CHECK over one stored value and one live declaration. It is not a provider fact and the provider does not perform it.
LISP-PLUS-SURFACE1 (Surface /1)	is the receipt's operation a declared operation?	compare EXPANSION-RECEIPT-OPERATION against EXPANSION-OPERATIONS	account-derived-check	computed by the account; no single native artifact bears it	yes -- :MACROEXPAND-1 is a member of (:MACROEXPAND-1 :MACROEXPAND)	Account-derived. Consults a live declaration on the right-hand side.
LISP-PLUS-SURFACE1 (Surface /1)	is the expanded head a member of the Account /0 manifest?	compare EXPANSION-RECEIPT-CONSTRUCT-IDENTITY against an account-owned manifest identity	account-derived-check	computed by the account; no single native artifact bears it	not measured -- no account manifest exists yet	Would be account-owned authority. The construct identity is opaque and provider-minted; equality is the only licensed operation on it.
LISP-PLUS-SURFACE1 (Surface /1)	request identity (opaque native identity datum)	LISP-PLUS-SURFACE1:EXPANSION-REQUEST-IDENTITY	request-stored	the native request record (a fourth native artifact; label first-class per Locked Ruling 5, originated as an R0 flag)	enumerated as an external this session; value not printed in the final transcripts	Row added R0 post-review (ADVERSARY F3, entered by JURIST): the request is its own bearer. A request is not a receipt and not an occurrence; labelling a request-borne fact receipt-stored would assert a bearer that does not bear it -- the same argument as the refusal-record rows.
LISP-PLUS-SURFACE1 (Surface /1)	request construct identity (which head was keyed)	LISP-PLUS-SURFACE1:EXPANSION-REQUEST-CONSTRUCT-IDENTITY	request-stored	the native request record (a fourth native artifact; label first-class per Locked Ruling 5, originated as an R0 flag)	yes -- 'request construct-identity PRESENT (known head)' printed in all fourteen probe cases	Row added R0 post-review (ADVERSARY F3, entered by JURIST): the request is its own bearer. A request is not a receipt and not an occurrence; labelling a request-borne fact receipt-stored would assert a bearer that does not bear it -- the same argument as the refusal-record rows.
LISP-PLUS-SURFACE1 (Surface /1)	request grammar / procedure / policy VERSIONS at request time	LISP-PLUS-SURFACE1:EXPANSION-REQUEST-{GRAMMAR,PROCEDURE,POLICY}-VERSION	request-stored	the native request record (a fourth native artifact; label first-class per Locked Ruling 5, originated as an R0 flag)	yes -- printed in all fourteen probe cases (4/4/1); earlier final transcripts mislabelled these lines receipt-stored (probe label corrected post-review)	Row added R0 post-review (ADVERSARY F3, entered by JURIST): the request is its own bearer. A request is not a receipt and not an occurrence; labelling a request-borne fact receipt-stored would assert a bearer that does not bear it -- the same argument as the refusal-record rows.
LISP-PLUS-SURFACE1 (Surface /1)	request occurrence tag	LISP-PLUS-SURFACE1:EXPANSION-REQUEST-OCCURRENCE-TAG	request-stored	the native request record (a fourth native artifact; label first-class per Locked Ruling 5, originated as an R0 flag)	enumerated as an external this session; value not printed in the final transcripts	Row added R0 post-review (ADVERSARY F3, entered by JURIST): the request is its own bearer. A request is not a receipt and not an occurrence; labelling a request-borne fact receipt-stored would assert a bearer that does not bear it -- the same argument as the refusal-record rows.
LISP-PLUS-SURFACE1 (Surface /1)	request operation	LISP-PLUS-SURFACE1:EXPANSION-REQUEST-OPERATION	request-stored	the native request record (a fourth native artifact; label first-class per Locked Ruling 5, originated as an R0 flag)	enumerated as an external this session; value not printed in the final transcripts	Row added R0 post-review (ADVERSARY F3, entered by JURIST): the request is its own bearer. A request is not a receipt and not an occurrence; labelling a request-borne fact receipt-stored would assert a bearer that does not bear it -- the same argument as the refusal-record rows.
