package	symbol-name	home-package	kind	arglist-if-publicly-documented	arglist-observed-in-image	docstring-present	shared-print-name-with-other-provider	shared-print-name-is-EQ-identity	cross-application-to-foreign-provider-object	observed-value-if-nullary-declaration	role	notes
LISP-PLUS-SURFACE1	CONSTRUCT-IDENTITY-FOR	LISP-PLUS-SURFACE1	function	(PACKAGE-NAME SYMBOL-NAME)	(PACKAGE-NAME SYMBOL-NAME)	yes	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	other	no additional observation
LISP-PLUS-SURFACE1	DECODE-TERM	LISP-PLUS-SURFACE1	function	(DATUM)	(DATUM)	yes	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	codec	no additional observation
LISP-PLUS-SURFACE1	ENCODE-TERM	LISP-PLUS-SURFACE1	function	(FORM)	(FORM)	yes	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	codec	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-CONDITION-REFUSAL	LISP-PLUS-SURFACE1	generic-function	unavailable-no-public-docstring	(CONDITION)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	not-tested-not-a-one-argument-reader	not-a-nullary-declaration	other	Generic function in BOTH providers (the only two generic functions in either package). Condition types are disjoint: an S2 refusal is NOT caught by a handler for LISP-PLUS-SURFACE1:EXPANSION-REFUSED (measured).
LISP-PLUS-SURFACE1	EXPANSION-GRAMMAR-IDENTITY	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	()	no	no	not-applicable	not-applicable-print-name-not-shared	"4c504344002202126c6973702d706c75732d7375726661636531076772616d6d617202047465726d0130"	declaration	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-GRAMMAR-VERSION	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	()	no	no	not-applicable	not-applicable-print-name-not-shared	4	declaration	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-INTEGRITY-ALARM-CODES	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	()	no	no	not-applicable	not-applicable-print-name-not-shared	(:SOURCE-IDENTITY-PROJECTION-MISMATCH :EXPANDED-IDENTITY-PROJECTION-MISMATCH :PROCEDURE-VERSION-MISMATCH)	declaration	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-OCCURRENCE-DISPOSITION	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	occurrence reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-OCCURRENCE-EXPANDED-FORM-DATUM	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	occurrence reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-OCCURRENCE-EXPANDED-FORM-IDENTITY	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	occurrence reader	no additional observation
