vertical0 external syscall witness — the trace is controlling.
Earned by a PASS below: "the implementation invoked its declared durability protocol before the process-death boundary" — never power-loss durability, never storage-stack tolerance (contract §1.2).

-- campaign life 1 (mneme/vertical0/runs/campaign-1/trace-life1.txt) --
[W001] ok   campaign life 1: trace parsed (1774 fd-resolved records)
[W002] ok   campaign life 1: boundary EFFECT-FRONTIER-CROSSED-UNSETTLED readiness at line 1939 came AFTER the last journal append's fsync (last write(EVENTS.pj0)@1929 < last fsync(EVENTS.pj0)@1930 < READY@1939)
[W003] ok   campaign life 1: write-replace of seat-first-fruit-envelope.bin.tmp — fsync(tmp) preceded the rename (line 1318) and fsync(parent directory) followed it; close alone was never the durability primitive
[W004] ok   campaign life 1: write-replace of seat-empty-page-envelope.bin.tmp — fsync(tmp) preceded the rename (line 1626) and fsync(parent directory) followed it; close alone was never the durability primitive
[W005] ok   campaign life 1 (W1): between the final READY and SIGKILL there is NO semantic write of any kind (no write/pwrite/rename/unlink on any fd)
[W006] ok   campaign life 1 (W1): the child died BLOCKED in read(0, ...) — the in-flight syscall at SIGKILL is the wait pipe read (trace-controlling blocked-state proof)
[W007] ok   campaign life 1: read-set proof — the child NEVER opened the oracle artifact, any harness-private directory, or any corpse snapshot
[W008] ok   campaign life 1: the class-B provider domain was NEVER opened (no reconciliation reader ran in this life)
[W009] ok   campaign life 1: zero fdatasync calls — the declared barrier is fsync and only fsync appears

-- campaign life 2 (mneme/vertical0/runs/campaign-1/trace-life2.txt) --
[W010] ok   campaign life 2: trace parsed (1151 fd-resolved records)
[W011] ok   campaign life 2: boundary STREAM-CHUNK-CUSTODY-COMMITTED readiness at line 1310 came AFTER the last journal append's fsync (last write(EVENTS.pj0)@1300 < last fsync(EVENTS.pj0)@1301 < READY@1310)
[W012] ok   campaign life 2 (W2): between the final READY and SIGKILL there is NO semantic write of any kind (no write/pwrite/rename/unlink on any fd)
[W013] ok   campaign life 2 (W2): the child died BLOCKED in read(0, ...) — the in-flight syscall at SIGKILL is the wait pipe read (trace-controlling blocked-state proof)
[W014] ok   campaign life 2: read-set proof — the child NEVER opened the oracle artifact, any harness-private directory, or any corpse snapshot
[W015] ok   campaign life 2: the class-B provider domain was NEVER opened (no reconciliation reader ran in this life)
[W016] ok   campaign life 2: zero fdatasync calls — the declared barrier is fsync and only fsync appears

-- campaign life 3 (mneme/vertical0/runs/campaign-1/trace-life3.txt) --
[W017] ok   campaign life 3: trace parsed (1999 fd-resolved records)
[W018] ok   campaign life 3: boundary ENVELOPE-CUSTODY-COMMITTED readiness at line 2272 came AFTER the last journal append's fsync (last write(EVENTS.pj0)@2265 < last fsync(EVENTS.pj0)@2266 < READY@2272)
[W019] ok   campaign life 3: write-replace of seat-broken-glass-envelope.bin.tmp — fsync(tmp) preceded the rename (line 1265) and fsync(parent directory) followed it; close alone was never the durability primitive
[W020] ok   campaign life 3: write-replace of seat-burned-draft-envelope.bin.tmp — fsync(tmp) preceded the rename (line 1871) and fsync(parent directory) followed it; close alone was never the durability primitive
[W021] ok   campaign life 3: write-replace of seat-sealed-letter-envelope.bin.tmp — fsync(tmp) preceded the rename (line 2206) and fsync(parent directory) followed it; close alone was never the durability primitive
[W022] ok   campaign life 3 (W3): between the final READY and SIGKILL there is NO semantic write of any kind (no write/pwrite/rename/unlink on any fd)
[W023] ok   campaign life 3 (W3): the child died BLOCKED in read(0, ...) — the in-flight syscall at SIGKILL is the wait pipe read (trace-controlling blocked-state proof)
[W024] ok   campaign life 3: read-set proof — the child NEVER opened the oracle artifact, any harness-private directory, or any corpse snapshot
[W025] ok   campaign life 3: the class-B provider domain was NEVER opened (no reconciliation reader ran in this life)
[W026] ok   campaign life 3: zero fdatasync calls — the declared barrier is fsync and only fsync appears

-- campaign life 4 (mneme/vertical0/runs/campaign-1/trace-life4.txt) --
[W027] ok   campaign life 4: trace parsed (1231 fd-resolved records)
